team,idGame,dateGame,slugMatchup,slugTeamWinner,slugTeamLoser,pts_team,pts_opp
BOS,20000412,2000-12-28,BOS @ NJN,BOS,NJN,112,111
NJN,20000412,2000-12-28,BOS @ NJN,BOS,NJN,111,112
ATL,20000424,2000-12-29,ATL vs. CLE,CLE,ATL,85,97
CLE,20000424,2000-12-29,ATL vs. CLE,CLE,ATL,97,85
NJN,20000706,2001-02-08,SAS @ NJN,NJN,SAS,99,97
SAS,20000706,2001-02-08,SAS @ NJN,NJN,SAS,97,99
GSW,20100759,2002-02-20,PHI vs. GSW,PHI,GSW,107,114
PHI,20100759,2002-02-20,PHI vs. GSW,PHI,GSW,114,107
BOS,20400769,2005-02-16,BOS vs. MEM,BOS,MEM,90,88
MEM,20400769,2005-02-16,BOS vs. MEM,BOS,MEM,88,90
NJN,20401079,2005-04-02,NJN vs. ORL,ORL,NJN,102,103
ORL,20401079,2005-04-02,NJN vs. ORL,ORL,NJN,103,102
BOS,29600735,1997-02-17,BOS @ SEA,SEA,BOS,108,113
SEA,29600735,1997-02-17,BOS @ SEA,SEA,BOS,113,108
CHI,29800179,1999-02-28,TOR vs. CHI,CHI,TOR,90,88
TOR,29800179,1999-02-28,TOR vs. CHI,CHI,TOR,88,90
NYK,29900273,1999-12-10,PHI @ NYK,NYK,PHI,85,78
PHI,29900273,1999-12-10,PHI @ NYK,NYK,PHI,78,85
MIL,29900622,2000-01-29,SEA vs. MIL,MIL,SEA,101,99
SEA,29900622,2000-01-29,SEA vs. MIL,MIL,SEA,99,101
